Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Borja Iglesias,celta-vigo,espanyol-barcelona,ES1,ES1,10000000.0
18/19,Jonny Otto,celta-vigo,atletico-madrid,ES1,ES1,7000000.0
18/19,Daniel Wass,celta-vigo,fc-valencia,ES1,ES1,6000000.0
18/19,Sergi Gómez,celta-vigo,fc-sevilla,ES1,ES1,5500000.0
18/19,John Guidetti,celta-vigo,deportivo-alaves,ES1,ES1,4000000.0
18/19,Théo Bongonda,celta-vigo,sv-zulte-waregem,ES1,BE1,1600000.0
18/19,Pablo Hernández,celta-vigo,club-atletico-independiente,ES1,AR1N,1300000.0
18/19,Álvaro Lemos,celta-vigo,ud-las-palmas,ES1,ES2,300000.0
18/19,Borja Iglesias,celta-vigo,espanyol-barcelona,ES1,ES1,10000000.0
18/19,Sergi Darder,olympique-lyon,espanyol-barcelona,FR1,ES1,8000000.0
18/19,Lei Wu,shanghai-port,espanyol-barcelona,CSL,ES1,1500000.0
18/19,Gerard Moreno,espanyol-barcelona,fc-villarreal,ES1,ES1,20000000.0
18/19,Léo Baptistão,espanyol-barcelona,wuhan-fc,ES1,CSL,5800000.0
18/19,Marc Navarro,espanyol-barcelona,fc-watford,ES1,GB1,2000000.0
18/19,William Carvalho,sporting-lissabon,real-betis-sevilla,PO1,ES1,18500000.0
18/19,Diego Lainez,cf-america,real-betis-sevilla,,ES1,14000000.0
18/19,Emerson Royal,fc-barcelona,real-betis-sevilla,ES1,ES1,6000000.0
18/19,Sidnei,deportivo-la-coruna,real-betis-sevilla,ES2,ES1,4500000.0
18/19,Antonio Barragán,fc-middlesbrough,real-betis-sevilla,GB2,ES1,1000000.0
18/19,Fabián Ruiz,real-betis-sevilla,ssc-neapel,ES1,IT1,30000000.0
18/19,Germán Pezzella,real-betis-sevilla,ac-florenz,ES1,IT1,9750000.0
18/19,Riza Durmisi,real-betis-sevilla,lazio-rom,ES1,IT1,7500000.0
18/19,Antonio Adán,real-betis-sevilla,atletico-madrid,ES1,ES1,1500000.0
18/19,Vinicius Junior,flamengo-rio-de-janeiro,real-madrid,BRA1,ES1,45000000.0
18/19,Thibaut Courtois,fc-chelsea,real-madrid,GB1,ES1,35000000.0
18/19,Álvaro Odriozola,real-sociedad-san-sebastian,real-madrid,ES1,ES1,32000000.0
18/19,Mariano Díaz,olympique-lyon,real-madrid,FR1,ES1,21500000.0
18/19,Brahim Díaz,manchester-city,real-madrid,GB1,ES1,17000000.0
18/19,Andriy Lunin,zorya-lugansk,real-madrid,UKR1,ES1,8500000.0
18/19,Omar Mascarell,eintracht-frankfurt,real-madrid,L1,ES1,4000000.0
18/19,Lucas Torró,ca-osasuna,real-madrid,ES2,ES1,1750000.0
18/19,Cristiano Ronaldo,real-madrid,juventus-turin,ES1,IT1,117000000.0
18/19,Omar Mascarell,real-madrid,fc-schalke-04,ES1,L1,10000000.0
18/19,Lucas Torró,real-madrid,eintracht-frankfurt,ES1,L1,3500000.0
18/19,Philipp Lienhart,real-madrid,sc-freiburg,ES1,L1,2000000.0
18/19,Mikel Merino,newcastle-united,real-sociedad-san-sebastian,GB1,ES1,12000000.0
18/19,Álvaro Odriozola,real-sociedad-san-sebastian,real-madrid,ES1,ES1,32000000.0
18/19,Srdjan Babic,real-sociedad-san-sebastian,roter-stern-belgrad,ES1,,800000.0
18/19,Sergio Álvarez,sporting-gijon,sd-eibar,ES2,ES1,4000000.0
18/19,Fabián Orellana,fc-valencia,sd-eibar,ES1,ES1,2000000.0
18/19,Pablo de Blasis,1-fsv-mainz-05,sd-eibar,L1,ES1,2000000.0
18/19,Iván Alejo,sd-eibar,fc-getafe,ES1,ES1,4000000.0
18/19,Ander Capa,sd-eibar,athletic-bilbao,ES1,ES1,3000000.0
18/19,Bebé,sd-eibar,rayo-vallecano,ES1,ES1,750000.0
18/19,Quincy Promes,spartak-moskau,fc-sevilla,RU1,ES1,21000000.0
18/19,Ibrahim Amadou,losc-lille,fc-sevilla,FR1,ES1,14400000.0
18/19,Joris Gnagnon,fc-stade-rennes,fc-sevilla,FR1,ES1,13500000.0
18/19,Aleix Vidal,fc-barcelona,fc-sevilla,ES1,ES1,9300000.0
18/19,Roque Mesa,swansea-city,fc-sevilla,GB2,ES1,6000000.0
18/19,Tomas Vaclik,fc-basel-1893,fc-sevilla,C1,ES1,6000000.0
18/19,Sergi Gómez,celta-vigo,fc-sevilla,ES1,ES1,5500000.0
18/19,Munir El Haddadi,fc-barcelona,fc-sevilla,ES1,ES1,1050000.0
18/19,Clément Lenglet,fc-sevilla,fc-barcelona,ES1,ES1,35900000.0
18/19,Steven Nzonzi,fc-sevilla,as-rom,ES1,IT1,26650000.0
18/19,Joaquín Correa,fc-sevilla,lazio-rom,ES1,IT1,17850000.0
18/19,Guido Pizarro,fc-sevilla,tigres-uanl,ES1,,8700000.0
18/19,David Soria,fc-sevilla,fc-getafe,ES1,ES1,3000000.0
18/19,Gonçalo Guedes,fc-paris-saint-germain,fc-valencia,FR1,ES1,40000000.0
18/19,Geoffrey Kondogbia,inter-mailand,fc-valencia,IT1,ES1,22000000.0
18/19,Kévin Gameiro,atletico-madrid,fc-valencia,ES1,ES1,16000000.0
18/19,Mouctar Diakhaby,olympique-lyon,fc-valencia,FR1,ES1,15000000.0
18/19,Jeison Murillo,inter-mailand,fc-valencia,IT1,ES1,12000000.0
18/19,Cristiano Piccini,sporting-lissabon,fc-valencia,PO1,ES1,8000000.0
18/19,Daniel Wass,celta-vigo,fc-valencia,ES1,ES1,6000000.0
18/19,Rubén Sobrino,deportivo-alaves,fc-valencia,ES1,ES1,5000000.0
18/19,Uroš Račić,roter-stern-belgrad,fc-valencia,,ES1,2200000.0
18/19,João Cancelo,fc-valencia,juventus-turin,ES1,IT1,40400000.0
18/19,Nemanja Maksimovic,fc-valencia,fc-getafe,ES1,ES1,10000000.0
18/19,Martín Montoya,fc-valencia,brighton-amp-hove-albion,ES1,GB1,7000000.0
18/19,Aderllan Santos,fc-valencia,al-ahli-dschidda,ES1,SA1,5000000.0
18/19,Fabián Orellana,fc-valencia,sd-eibar,ES1,ES1,2000000.0
18/19,Zakaria Bakkali,fc-valencia,rsc-anderlecht,ES1,BE1,1200000.0
18/19,Gerard Moreno,espanyol-barcelona,fc-villarreal,ES1,ES1,20000000.0
18/19,Karl Toko Ekambi,sco-angers,fc-villarreal,FR1,ES1,18000000.0
18/19,Roger Martínez,jiangsu-fc,fc-villarreal,CSL,ES1,14900000.0
18/19,Santiago Cáseres,club-atletico-velez-sarsfield,fc-villarreal,AR1N,ES1,10000000.0
18/19,Vicente Iborra,leicester-city,fc-villarreal,GB1,ES1,10000000.0
18/19,Ramiro Funes Mori,fc-everton,fc-villarreal,GB1,ES1,9000000.0
18/19,Carlos Bacca,ac-mailand,fc-villarreal,IT1,ES1,7000000.0
18/19,Miguel Layún,fc-porto,fc-villarreal,PO1,ES1,4000000.0
18/19,Samu Castillejo,fc-villarreal,ac-mailand,ES1,IT1,21300000.0
18/19,Rodri,fc-villarreal,atletico-madrid,ES1,ES1,20000000.0
18/19,Roger Martínez,fc-villarreal,cf-america,ES1,,8500000.0
18/19,Miguel Layún,fc-villarreal,cf-monterrey,ES1,,4000000.0
18/19,Enric Gallego,extremadura-ud,sd-huesca,ES2,ES1,3000000.0
18/19,Serdar Gürler,ankaraspor,sd-huesca,TR2,ES1,2500000.0
18/19,Aleksandar Jovanovic,aarhus-gf,sd-huesca,DK1,ES1,1000000.0
18/19,Javi Galán,fc-cordoba,sd-huesca,ES2,ES1,1000000.0
18/19,Dani Escriche,cd-lugo,sd-huesca,ES2,ES1,500000.0
18/19,Álvaro García,fc-cadiz,rayo-vallecano,ES2,ES1,4500000.0
18/19,Gaël Kakuta,hebei-fc,rayo-vallecano,CSL,ES1,2000000.0
18/19,José Pozo,ud-almeria,rayo-vallecano,ES2,ES1,1300000.0
18/19,Jordi Amat,swansea-city,rayo-vallecano,GB2,ES1,1000000.0
18/19,Stole Dimitrievski,gimnastic-de-tarragona,rayo-vallecano,ES2,ES1,900000.0
18/19,Bebé,sd-eibar,rayo-vallecano,ES1,ES1,750000.0
18/19,Alberto García,fc-getafe,rayo-vallecano,ES1,ES1,500000.0
18/19,Fran Beltrán,rayo-vallecano,celta-vigo,ES1,ES1,8000000.0
18/19,Johan Mojica,rayo-vallecano,fc-girona,ES1,ES1,5000000.0
18/19,Sergi Guardiola,fc-cordoba,real-valladolid,ES2,ES1,3000000.0
18/19,Álvaro Aguado,fc-cordoba,real-valladolid,ES2,ES1,2000000.0
18/19,Stiven Plaza,independiente-del-valle,real-valladolid,EC1N,ES1,2000000.0
18/19,Joaquín Fernández,ud-almeria,real-valladolid,ES2,ES1,1100000.0
18/19,Rubén Alcaraz,fc-girona,real-valladolid,ES1,ES1,1000000.0
18/19,Fede San Emeterio,fc-sevilla-b-atletico-,real-valladolid,ES3D,ES1,500000.0
19/20,Antoine Griezmann,atletico-madrid,fc-barcelona,ES1,ES1,120000000.0
19/20,Frenkie de Jong,ajax-amsterdam,fc-barcelona,NL1,ES1,86000000.0
19/20,Neto,fc-valencia,fc-barcelona,ES1,ES1,26000000.0
19/20,Pedri,ud-las-palmas,fc-barcelona,ES2,ES1,22000000.0
19/20,Junior Firpo,real-betis-sevilla,fc-barcelona,ES1,ES1,20000000.0
19/20,Martin Braithwaite,cd-leganes,fc-barcelona,ES1,ES1,18000000.0
19/20,Matheus Fernandes,se-palmeiras-sao-paulo,fc-barcelona,BRA1,ES1,7000000.0
19/20,Marc Cucurella,sd-eibar,fc-barcelona,ES1,ES1,4000000.0
19/20,Malcom,fc-barcelona,zenit-st-petersburg,ES1,RU1,41500000.0
19/20,Jasper Cillessen,fc-barcelona,fc-valencia,ES1,ES1,35000000.0
19/20,André Gomes,fc-barcelona,fc-everton,ES1,GB1,25000000.0
19/20,Paco Alcácer,fc-barcelona,borussia-dortmund,ES1,L1,21000000.0
19/20,Denis Suárez,fc-barcelona,celta-vigo,ES1,ES1,12900000.0
19/20,Marc Cardona,fc-barcelona,ca-osasuna,ES1,ES1,2500000.0
19/20,Marc Cucurella,fc-barcelona,sd-eibar,ES1,ES1,2000000.0
19/20,Sergi Palencia,fc-barcelona,as-saint-etienne,ES1,FR1,2000000.0
19/20,João Félix,benfica-lissabon,atletico-madrid,PO1,ES1,127200000.0
19/20,Marcos Llorente,real-madrid,atletico-madrid,ES1,ES1,30000000.0
19/20,Mario Hermoso,espanyol-barcelona,atletico-madrid,ES1,ES1,25000000.0
19/20,Kieran Trippier,tottenham-hotspur,atletico-madrid,GB1,ES1,22000000.0
19/20,Renan Lodi,club-athletico-paranaense,atletico-madrid,BRA1,ES1,21750000.0
19/20,Felipe,fc-porto,atletico-madrid,PO1,ES1,20000000.0
19/20,Nicolás Ibáñez,atletico-de-san-luis,atletico-madrid,,ES1,900000.0
19/20,Ivan Saponjic,benfica-lissabon-b,atletico-madrid,PO2,ES1,500000.0
19/20,Antoine Griezmann,atletico-madrid,fc-barcelona,ES1,ES1,120000000.0
19/20,Lucas Hernández,atletico-madrid,fc-bayern-munchen,ES1,L1,80000000.0
19/20,Rodri,atletico-madrid,manchester-city,ES1,GB1,70000000.0
19/20,Gelson Martins,atletico-madrid,as-monaco,ES1,FR1,30000000.0
19/20,Luciano Vietto,atletico-madrid,sporting-lissabon,ES1,PO1,11000000.0
19/20,Bernard Mensah,atletico-madrid,kayserispor,ES1,TR1,2800000.0
19/20,Eden Hazard,fc-chelsea,real-madrid,GB1,ES1,115000000.0
19/20,Luka Jović,eintracht-frankfurt,real-madrid,L1,ES1,63000000.0
19/20,Éder Militão,fc-porto,real-madrid,PO1,ES1,50000000.0
19/20,Ferland Mendy,olympique-lyon,real-madrid,FR1,ES1,48000000.0
19/20,Rodrygo,fc-santos,real-madrid,BRA1,ES1,45000000.0
19/20,Reinier,flamengo-rio-de-janeiro,real-madrid,BRA1,ES1,30000000.0
19/20,Alberto Soro,real-saragossa,real-madrid,ES2,ES1,2500000.0
19/20,Mateo Kovacic,real-madrid,fc-chelsea,ES1,GB1,45000000.0
19/20,Marcos Llorente,real-madrid,atletico-madrid,ES1,ES1,30000000.0
19/20,Theo Hernández,real-madrid,ac-mailand,ES1,IT1,22800000.0
19/20,Raúl de Tomás,real-madrid,benfica-lissabon,ES1,PO1,20000000.0
19/20,Keylor Navas,real-madrid,fc-paris-saint-germain,ES1,FR1,15000000.0
19/20,Erick Cabaco,ud-levante,fc-getafe,ES1,ES1,8000000.0
19/20,Enric Gallego,sd-huesca,fc-getafe,ES2,ES1,6000000.0
19/20,Allan Nyom,west-bromwich-albion,fc-getafe,GB2,ES1,3000000.0
19/20,Jack Harper,fc-malaga,fc-getafe,ES2,ES1,1500000.0
19/20,Fayçal Fajr,sm-caen,fc-getafe,FR2,ES1,1500000.0
19/20,Chema Rodríguez,nottingham-forest,fc-getafe,GB2,ES1,1500000.0
19/20,Leandro Cabrera,fc-getafe,espanyol-barcelona,ES1,ES1,9000000.0
19/20,Rober Ibáñez,fc-getafe,ca-osasuna,ES1,ES1,2000000.0
19/20,Jasper Cillessen,fc-barcelona,fc-valencia,ES1,ES1,35000000.0
19/20,Maxi Gómez,celta-vigo,fc-valencia,ES1,ES1,14500000.0
19/20,Thierry Correia,sporting-lissabon,fc-valencia,PO1,ES1,12000000.0
19/20,Denis Cheryshev,fc-villarreal,fc-valencia,ES1,ES1,6000000.0
19/20,Manu Vallejo,fc-cadiz,fc-valencia,ES2,ES1,5500000.0
19/20,Jorge Sáenz,cd-teneriffa,fc-valencia,ES2,ES1,2000000.0
19/20,Neto,fc-valencia,fc-barcelona,ES1,ES1,26000000.0
19/20,Jeison Murillo,fc-valencia,sampdoria-genua,ES1,IT1,13300000.0
19/20,Simone Zaza,fc-valencia,fc-turin,ES1,IT1,12000000.0
19/20,Rúben Vezo,fc-valencia,ud-levante,ES1,ES1,5000000.0
19/20,Jules Koundé,fc-girondins-bordeaux,fc-sevilla,FR1,ES1,35000000.0
19/20,Rony Lopes,as-monaco,fc-sevilla,FR1,ES1,25000000.0
19/20,Youssef En-Nesyri,cd-leganes,fc-sevilla,ES1,ES1,20000000.0
19/20,Munas Dabbur,red-bull-salzburg,fc-sevilla,A1,ES1,17000000.0
19/20,Lucas Ocampos,olympique-marseille,fc-sevilla,FR1,ES1,15000000.0
19/20,Diego Carlos,fc-nantes,fc-sevilla,FR1,ES1,15000000.0
19/20,Joan Jordán,sd-eibar,fc-sevilla,ES1,ES1,14000000.0
19/20,Luuk de Jong,psv-eindhoven,fc-sevilla,NL1,ES1,12500000.0
19/20,Óliver Torres,fc-porto,fc-sevilla,PO1,ES1,11000000.0
19/20,Maximilian Wöber,ajax-amsterdam,fc-sevilla,NL1,ES1,10500000.0
19/20,Chicharito,west-ham-united,fc-sevilla,GB1,ES1,7750000.0
19/20,Fernando,galatasaray-istanbul,fc-sevilla,TR1,ES1,4500000.0
19/20,Yan Eteki,ud-almeria,fc-sevilla,ES2,ES1,500000.0
19/20,Wissam Ben Yedder,fc-sevilla,as-monaco,ES1,FR1,40000000.0
19/20,Luis Muriel,fc-sevilla,atalanta-bergamo,ES1,IT1,21200000.0
19/20,Pablo Sarabia,fc-sevilla,fc-paris-saint-germain,ES1,FR1,18000000.0
19/20,Quincy Promes,fc-sevilla,ajax-amsterdam,ES1,NL1,15700000.0
19/20,Munas Dabbur,fc-sevilla,tsg-1899-hoffenheim,ES1,L1,12000000.0
19/20,Maximilian Wöber,fc-sevilla,red-bull-salzburg,ES1,A1,10500000.0
19/20,Chicharito,fc-sevilla,los-angeles-galaxy,ES1,,8500000.0
19/20,Daniel Carriço,fc-sevilla,wuhan-fc,ES1,,2000000.0
19/20,Yan Eteki,fc-sevilla,fc-granada,ES1,ES1,1000000.0
19/20,Alexander Isak,borussia-dortmund,real-sociedad-san-sebastian,L1,ES1,15000000.0
19/20,Portu,fc-girona,real-sociedad-san-sebastian,ES2,ES1,10000000.0
19/20,Modibo Sagnan,rc-lens,real-sociedad-san-sebastian,FR2,ES1,4500000.0
19/20,Nacho Monreal,fc-arsenal,real-sociedad-san-sebastian,GB1,ES1,250000.0
19/20,Juanmi,real-sociedad-san-sebastian,real-betis-sevilla,ES1,ES1,8000000.0
19/20,Raúl de Tomás,benfica-lissabon,espanyol-barcelona,PO1,ES1,22500000.0
19/20,Matías Vargas,club-atletico-velez-sarsfield,espanyol-barcelona,AR1N,ES1,10500000.0
19/20,Adrián Embarba,rayo-vallecano,espanyol-barcelona,ES2,ES1,10000000.0
19/20,Leandro Cabrera,fc-getafe,espanyol-barcelona,ES1,ES1,9000000.0
19/20,Fernando Calero,real-valladolid,espanyol-barcelona,ES1,ES1,8000000.0
19/20,Oier Olazábal,ud-levante,espanyol-barcelona,ES1,ES1,1500000.0
19/20,Borja Iglesias,espanyol-barcelona,real-betis-sevilla,ES1,ES1,28000000.0
19/20,Mario Hermoso,espanyol-barcelona,atletico-madrid,ES1,ES1,25000000.0
19/20,Aarón Martín,espanyol-barcelona,1-fsv-mainz-05,ES1,L1,8000000.0
19/20,Lucas Pérez,west-ham-united,deportivo-alaves,GB1,ES1,2300000.0
19/20,Joselu,newcastle-united,deportivo-alaves,GB1,ES1,2240000.0
19/20,Ramón Miérez,club-atletico-tigre,deportivo-alaves,,ES1,2230000.0
19/20,Pere Pons,fc-girona,deportivo-alaves,ES2,ES1,2000000.0
19/20,Luis Rioja,ud-almeria,deportivo-alaves,ES2,ES1,2000000.0
19/20,Jeando Fuchs,fc-sochaux-montbeliard,deportivo-alaves,FR2,ES1,1000000.0
19/20,Guillermo Maripán,deportivo-alaves,as-monaco,ES1,FR1,18000000.0
19/20,Mubarak Wakaso,deportivo-alaves,jiangsu-fc,ES1,,4000000.0
19/20,Edu Expósito,deportivo-la-coruna,sd-eibar,ES2,ES1,4000000.0
19/20,Quique González,deportivo-la-coruna,sd-eibar,ES2,ES1,3300000.0
19/20,Pedro Bigas,ud-las-palmas,sd-eibar,ES2,ES1,3000000.0
19/20,Roberto Olabe,atletico-madrid-b,sd-eibar,ES3A,ES1,3000000.0
19/20,Marc Cucurella,fc-barcelona,sd-eibar,ES1,ES1,2000000.0
19/20,Takashi Inui,real-betis-sevilla,sd-eibar,ES1,ES1,2000000.0
19/20,Joan Jordán,sd-eibar,fc-sevilla,ES1,ES1,14000000.0
19/20,Rubén Peña,sd-eibar,fc-villarreal,ES1,ES1,8000000.0
19/20,Marc Cucurella,sd-eibar,fc-barcelona,ES1,ES1,4000000.0
19/20,Pablo Hervías,sd-eibar,real-valladolid,ES1,ES1,1000000.0
19/20,Martin Braithwaite,fc-middlesbrough,cd-leganes,GB2,ES1,5000000.0
19/20,Kenneth Omeruo,fc-chelsea,cd-leganes,GB1,ES1,5000000.0
19/20,Jonathan Silva,sporting-lissabon,cd-leganes,PO1,ES1,2700000.0
19/20,Juan Muñoz,ad-alcorcon,cd-leganes,ES2,ES1,1500000.0
19/20,Roberto Rosales,fc-malaga,cd-leganes,ES2,ES1,1200000.0
19/20,Federico Varela,fc-porto-b,cd-leganes,PO2,ES1,1000000.0
19/20,Youssef En-Nesyri,cd-leganes,fc-sevilla,ES1,ES1,20000000.0
19/20,Martin Braithwaite,cd-leganes,fc-barcelona,ES1,ES1,18000000.0
19/20,Luciano,cd-leganes,gremio-porto-alegre,ES1,BRA1,1000000.0
19/20,Gerard Gumbau,cd-leganes,fc-girona,ES1,ES2,500000.0
19/20,Owusu,cd-leganes,qarabag-fk,ES1,AZ1,300000.0
19/20,Fede Vico,cd-leganes,fc-granada,ES1,ES1,250000.0
19/20,Borja Iglesias,espanyol-barcelona,real-betis-sevilla,ES1,ES1,28000000.0
19/20,Giovani Lo Celso,fc-paris-saint-germain,real-betis-sevilla,FR1,ES1,22000000.0
19/20,Nabil Fekir,olympique-lyon,real-betis-sevilla,FR1,ES1,19750000.0
19/20,Álex Moreno,rayo-vallecano,real-betis-sevilla,ES2,ES1,9700000.0
19/20,Juanmi,real-sociedad-san-sebastian,real-betis-sevilla,ES1,ES1,8000000.0
19/20,Dani Martín,sporting-gijon,real-betis-sevilla,ES2,ES1,5000000.0
19/20,Guido Rodríguez,cf-america,real-betis-sevilla,,ES1,4000000.0
19/20,Pau López,real-betis-sevilla,as-rom,ES1,IT1,23500000.0
19/20,Junior Firpo,real-betis-sevilla,fc-barcelona,ES1,ES1,20000000.0
19/20,Sergio León,real-betis-sevilla,ud-levante,ES1,ES1,4000000.0
19/20,Ryad Boudebouz,real-betis-sevilla,as-saint-etienne,ES1,FR1,3500000.0
19/20,Takashi Inui,real-betis-sevilla,sd-eibar,ES1,ES1,2000000.0
19/20,Darko Brasanac,real-betis-sevilla,ca-osasuna,ES1,ES1,1000000.0
19/20,Paco Alcácer,borussia-dortmund,fc-villarreal,L1,ES1,23000000.0
19/20,Rubén Peña,sd-eibar,fc-villarreal,ES1,ES1,8000000.0
19/20,Javi Ontiveros,fc-malaga,fc-villarreal,ES2,ES1,7500000.0
19/20,Raúl Albiol,ssc-neapel,fc-villarreal,IT1,ES1,4000000.0
19/20,Moi Gómez,sporting-gijon,fc-villarreal,ES2,ES1,1300000.0
19/20,Pablo Fornals,fc-villarreal,west-ham-united,ES1,GB1,28000000.0
19/20,Nicola Sansone,fc-villarreal,fc-bologna,ES1,IT1,8000000.0
19/20,Roberto Soriano,fc-villarreal,fc-bologna,ES1,IT1,8000000.0
